product.sku,product_description.name.hu,product.weight,product.weight_class_id,product.image,product_to_category.category_name,product.manufacturer_id,product.product_class_id,attr_values.anyag.hu,attr_values.rogzites.hu,attr_values.csaptipus.hu,attr_values.szemforma.hu,attr_values.osztas,attr_values.belsoheveder,attr_values.gorgoatmero,attr_values.csapatmero,attr_values.csaphossz,attr_values.huvelyatmero,attr_values.fogszam,attr_values.fogedzett.hu,attr_values.kivitel.hu,attr_values.hevederek_szama.hu,attr_values.lanckerektipus.hu,attr_values.feluletkezeles.hu,product_special.price,product_special.date_start,product_special.date_end,product_description.short_description.hu,product.quantity_2,product.alapar,product.tax_class_id,product_description.quantity_name.hu,product_image.image.0,attr_values.huzal_atmero,attr_values.belso_hossz,attr_values.profil
N-MGBFE-0-16x16x190_M12_LÉ,16x16x190M12 elforgatott egyenes boronafog,0.1,kg.,product/N-MGBFE.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Egyenes,,,,,,,"Prémium 16x16x190 mm, M12 elforgatott egyenes boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,850,27%,db,,,,
N-MGBFE-0-16x16x190_M12_LL,16x16x190M12 párhuzamos egyenes boronafog,0.1,kg.,product/N-MGBFE.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Egyenes,,,,,,,"Prémium 16x16x190 mm, M12 párhuzamos egyenes boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,850,27%,db,,,,
N-MGBFE-0-20x20x250_M16_LL,20x20x250M16 párhuzamos egyenes boronafog,0.7,kg.,product/N-MGBFE.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Egyenes,,,,,,,"Prémium 20x20x250 mm, M16 párhuzamos egyenes boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1174,27%,db,,,,
N-MGBFE-0-20x20x250_M16_LÉ,20x20x250M16 elforgatott egyenes boronafog,0.7,kg.,product/N-MGBFE.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Egyenes,,,,,,,"Prémium 20x20x250 mm, M16 elforgatott egyenes boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1174,27%,db,,,,
N-MGBFK-0-20x20x250_M16_LÉ,20x20x250M16 elforgatott kanalas boronafog,1.2,kg.,product/N-MGBFK.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Kanalas,,,,,,,"Prémium 20x20x250 mm, M16 elforgatott kanalas boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1526,27%,db,,,,
N-MGBFK-0-20x20x250_M16_LL,20x20x250M16 párhuzamos kanalas boronafog,1.2,kg.,product/N-MGBFK.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Kanalas,,,,,,,"Prémium 20x20x250 mm, M16 párhuzamos kanalas boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1526,27%,db,,,,
N-MGBFH-0-20x20x250_M16_LÉ,20x20x250M16 elforgatott hajlított boronafog,1.2,kg.,product/N-MGBFH.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Hajlított,,,,,,,"Prémium 20x20x250 mm, M16 elforgatott hajlított boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1228,27%,db,,,,
N-MGBFH-0-20x20x250_M16_LL,20x20x250M16 párhuzamos hajlított boronafog,1.2,kg.,product/N-MGBFH.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Hajlított,,,,,,,"Prémium 20x20x250 mm, M16 párhuzamos hajlított boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1228,27%,db,,,,
N-MGBFE-0-25x25x315_M20_LL,25x25x315M20 párhuzamos egyenes boronafog,1.3,kg.,product/N-MGBFE.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Egyenes,,,,,,,"Prémium 25x25x315 mm, M20 párhuzamos egyenes boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1714,27%,db,,,,
N-MGBFE-0-25x25x315_M20_LÉ,25x25x315M20 elforgatott egyenes boronafog,1.3,kg.,product/N-MGBFE.png,Boronafogak,Prémium,Boronafog,Kovácsolt vas,,,,,,,,,,,,Egyenes,,,,,,,"Prémium 25x25x315 mm, M20 elforgatott egyenes boronafog. <br><font color='red'>A termék csak rendelhető, kérjük, hívja munkatársunkat!</font><br><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!",0.0,1714,27%,db,,,,
